sleeper_id,gsis_id,name,route,status,why,smallest_next_experiment
1737,00-0028986,Case Keenum,dormant_no_draft_record,unresolved,appeared before and left DG-177's cohort after two absent seasons; no draft record,"appeared before, then absent, no draft record: the dormant-return experiment without draft features"
13415,00-0041149,Haynes King,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
13425,00-0041251,Jalon Daniels,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
13350,00-0040981,Joe Fagnano,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
7583,00-0036879,Sam Ehlinger,dormant_drafted,unresolved,appeared before and left DG-177's cohort after two absent seasons,"appeared before, then absent: a dormant-return experiment on last observed production and absence length (separate population)"
10857,00-0039107,Stetson Bennett,never_appeared_drafted,unresolved,"drafted in 2023, outside the frozen 2025-class candidate population","drafted, no rookie-year record, but outside the frozen candidate population (class or draft position): a separately frozen population"
6109,00-0035125,Alec Ingold,existing_forecast_join_failure,recovered_existing_forecast,"an accepted DG-177 forecast exists for this identity; delivered in the coverage run's recovery sidecar, not re-estimated",none needed; consumption is root's numerical/identity acceptance
13423,00-0041490,Eli Heidenreich,never_appeared_drafted,unresolved,draft position FB is outside the skill cohort (QB/RB/WR/TE); no silent mapping to a skill prior,"drafted, no rookie-year record, but outside the frozen candidate population (class or draft position): a separately frozen population"
1379,00-0029892,Kyle Juszczyk,existing_forecast_join_failure,recovered_existing_forecast,"an accepted DG-177 forecast exists for this identity; delivered in the coverage run's recovery sidecar, not re-estimated",none needed; consumption is root's numerical/identity acceptance
2471,00-0031595,Michael Burton,existing_forecast_join_failure,recovered_existing_forecast,"an accepted DG-177 forecast exists for this identity; delivered in the coverage run's recovery sidecar, not re-estimated",none needed; consumption is root's numerical/identity acceptance
12938,00-0040390,Jackson Meeks,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
12817,00-0040081,Jake Briningstool,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
13726,00-0040930,Camden Brown,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
13264,00-0040785,Dohnte Meyers,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
13770,00-0040948,J. Michael Sturdivant,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
13199,00-0040621,Montorie Foster,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
11851,00-0039534,Carter Bradley,never_appeared_no_draft_record,unresolved,no draft record in the held sources and no championship-window stat row,"no draft record in any held source, no championship-window row: a separately specified no-record entry cohort (entry season, position, age) with its own frozen population is the smallest valid next experiment; no roster-survivor selection"
